Date,Open,High,Low,Close,Adj Close,Volume
31-05-2007,40.540001,40.775002,40.124001,40.493,40.493,0
07-06-2007,40.5,41.130001,40.349998,40.551998,40.551998,0
14-06-2007,40.560001,40.987499,40.425999,40.48,40.48,0
21-06-2007,40.473,41.047501,40.467999,40.818001,40.818001,0
28-06-2007,40.82,40.924999,40.345001,40.412998,40.412998,0
05-07-2007,40.419998,40.48,40.127998,40.310001,40.310001,0
12-07-2007,40.32,40.632,40.167999,40.333,40.333,0
19-07-2007,40.34,40.435001,40.046001,40.231998,40.231998,0
26-07-2007,40.240002,40.575001,40.115002,40.373001,40.373001,0
02-08-2007,40.380001,40.695,40.146999,40.231998,40.231998,0
09-08-2007,40.240002,40.903999,40.23,40.876999,40.876999,0
16-08-2007,40.889999,41.615002,40.715,40.959999,40.959999,0
23-08-2007,40.956001,41.302502,40.715,40.896,40.896,0
30-08-2007,40.900002,41.130001,40.575001,40.834,40.834,0
06-09-2007,40.84,40.947498,40.27,40.271999,40.271999,0
13-09-2007,40.279999,40.599998,39.945,40.033001,40.033001,0
20-09-2007,40.040001,40.042,39.425999,39.632999,39.632999,0
27-09-2007,39.639999,39.855,39.306999,39.32,39.32,0
04-10-2007,39.319,39.572498,39.028999,39.174999,39.174999,0
11-10-2007,39.18,39.825001,39.064999,39.471001,39.471001,0
18-10-2007,39.48,39.900002,39.308998,39.375,39.375,0
25-10-2007,39.380001,39.57,39.146,39.174,39.174,0
01-11-2007,39.18,39.384998,39.113998,39.129002,39.129002,0
08-11-2007,39.095001,39.384998,38.979,39.259998,39.259998,0
15-11-2007,39.257,39.395,39.115002,39.255001,39.255001,0
22-11-2007,39.259998,39.884998,39.248001,39.631001,39.631001,0
29-11-2007,39.494999,39.772499,39.244999,39.397999,39.397999,0
06-12-2007,39.244999,39.494999,39.169998,39.293999,39.293999,0
13-12-2007,39.25,39.6325,39.224998,39.490002,39.490002,0
20-12-2007,39.485001,39.59,39.223,39.389999,39.389999,0
27-12-2007,39.424999,39.459999,39.186001,39.375,39.375,0
03-01-2008,39.325001,39.465,39.064999,39.213001,39.213001,0
10-01-2008,39.064999,39.294998,39.064999,39.171001,39.171001,0
17-01-2008,39.134998,39.759998,39.084,39.473,39.473,0
24-01-2008,39.5,39.505001,39.174999,39.347,39.347,0
31-01-2008,39.285,39.674999,39.055,39.535999,39.535999,0
07-02-2008,39.424999,39.880001,39.365002,39.633999,39.633999,0
14-02-2008,39.685001,40.209999,39.509998,40.133999,40.133999,0
21-02-2008,40.044998,40.115002,39.615002,39.689999,39.689999,0
28-02-2008,39.615002,40.360001,39.615002,40.174,40.174,0
06-03-2008,40.134998,40.700001,39.955002,39.979,39.979,0
13-03-2008,39.955002,40.810001,39.869999,40.132999,40.132999,0
20-03-2008,40.154999,40.455002,39.865002,40.056999,40.056999,0
27-03-2008,40.055,40.169998,39.615002,39.919998,39.919998,0
03-04-2008,39.814999,40.037498,39.761002,39.817001,39.817001,0
10-04-2008,39.849998,39.98,39.764999,39.828999,39.828999,0
17-04-2008,39.825001,40.014999,39.646999,39.860001,39.860001,0
24-04-2008,39.884998,40.564999,39.884998,40.386002,40.386002,0
01-05-2008,40.509998,41.360001,40.435001,41.316002,41.316002,0
08-05-2008,41.240002,42.59,41.240002,42.365002,42.365002,0
15-05-2008,42.275002,42.860001,42.164001,42.619999,42.619999,0
22-05-2008,42.720001,43.169998,42.459999,42.771999,42.771999,0
29-05-2008,42.700001,42.865002,42.084999,42.512001,42.512001,0
05-06-2008,42.535,42.950001,42.535,42.592999,42.592999,0
12-06-2008,42.59,42.945,42.59,42.841999,42.841999,0
19-06-2008,42.740002,42.970001,42.560001,42.688999,42.688999,0
26-06-2008,42.560001,43.362499,42.525002,43.113998,43.113998,0
03-07-2008,42.994999,43.389999,42.955002,43.073002,43.073002,0
10-07-2008,42.955002,43.205002,42.646999,43.091999,43.091999,0
17-07-2008,43,43,41.924999,41.997002,41.997002,0
24-07-2008,41.990002,42.735001,41.794998,42.410999,42.410999,0
31-07-2008,42.215,42.560001,42.215,42.433998,42.433998,0
21-08-2008,43.955002,44.0625,43.43,43.653999,43.653999,0
28-08-2008,43.560001,44.490002,43.560001,43.893002,43.893002,0
04-09-2008,43.895,45.134998,43.895,45.058998,45.058998,0
11-09-2008,44.990002,46.948002,44.990002,46.087002,46.087002,0
18-09-2008,46.162998,46.75,45.222,45.895,45.895,0
25-09-2008,45.924999,47.165001,45.924999,46.567001,46.567001,0
02-10-2008,46.473,48.787998,46.147999,47.950001,47.950001,0
09-10-2008,47.845001,49.119999,47.457001,48.404999,48.404999,0
16-10-2008,48.373001,49.490002,48.373001,49.208,49.208,0
23-10-2008,49.244999,50.255001,49.127998,49.480999,49.480999,0
30-10-2008,49.365002,49.491001,46.849998,47.229,47.229,0
06-11-2008,47.275002,49.382999,47.215,49.285,49.285,0
13-11-2008,49.217999,50.007999,48.562,49.652,49.652,0
20-11-2008,49.853001,50.613998,49.112999,49.289001,49.289001,0
27-11-2008,49.198002,50.557999,48.798,49.848,49.848,0
04-12-2008,49.938,49.938,48.588001,48.973,48.973,0
11-12-2008,48.717999,48.939999,47.176998,47.570999,47.570999,0
18-12-2008,47.542999,49.099998,46.587002,48.071999,48.071999,0
25-12-2008,48.682999,48.810001,47.720001,48.064999,48.064999,0
01-01-2009,48.064999,49.075001,48.064999,48.550999,48.550999,0
08-01-2009,48.563,49.127998,48.022999,48.650002,48.650002,0
15-01-2009,48.792999,49.27,48.498001,49.132999,49.132999,0
22-01-2009,49.042999,49.283001,48.43,48.792,48.792,0
29-01-2009,48.823002,49.099998,48.373001,48.550999,48.550999,0
05-02-2009,48.708,48.877998,48.462002,48.608002,48.608002,0
12-02-2009,48.803001,50.037998,48.522999,49.895,49.895,0
19-02-2009,49.873001,50.022999,49.257,49.751999,49.751999,0
26-02-2009,49.963001,52.16,49.963001,51.431999,51.431999,0
05-03-2009,51.533001,52,50.983002,51.085999,51.085999,0
12-03-2009,51.085999,51.903,51.085999,51.23,51.23,0
19-03-2009,51.283001,51.283001,50.07,50.396999,50.396999,0
26-03-2009,50.518002,51.252998,50.098999,50.542999,50.542999,0
02-04-2009,50.483002,50.605,49.728001,50.09,50.09,0
09-04-2009,50.292999,50.292999,49.568001,49.597,49.597,0
16-04-2009,49.568001,50.525002,49.369999,50.290001,50.290001,0
23-04-2009,50.217999,50.542999,49.598,49.870998,49.870998,0
30-04-2009,50.080002,50.080002,49.060001,49.307999,49.307999,0
07-05-2009,49.417999,49.702999,49.049999,49.530998,49.530998,0
14-05-2009,49.530998,50.02,47.212002,47.228001,47.228001,0
21-05-2009,47.455002,47.928001,46.93,47.508999,47.508999,0
28-05-2009,47.740002,48.080002,46.714001,46.890999,46.890999,0
04-06-2009,46.897999,47.759998,46.897999,47.150002,47.150002,0
11-06-2009,47.23,48.143002,47.23,47.994999,47.994999,0
18-06-2009,47.963001,48.928001,47.93,48.351002,48.351002,0
25-06-2009,48.417999,48.702999,47.743,47.852001,47.852001,0
02-07-2009,47.768002,48.938,47.702,48.837002,48.837002,0
09-07-2009,48.803001,49.428001,48.279999,48.289001,48.289001,0
16-07-2009,48.568001,48.842999,48.099998,48.445,48.445,0
23-07-2009,48.451,48.507999,48.068001,48.391998,48.391998,0
30-07-2009,48.400002,48.57,47.272999,47.57,47.57,0
06-08-2009,47.549999,48.483002,47.495998,48.286999,48.286999,0
13-08-2009,48.360001,48.983002,48.039001,48.671001,48.671001,0
20-08-2009,48.606998,48.865002,48.389999,48.773998,48.773998,0
27-08-2009,48.900002,48.924999,48.509998,48.891998,48.891998,0
